Rank,Movie,Release Date,Distributor,Genre,2020 Gross,Tickets Sold,id,titleType,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
1,Bad Boys For Life,2020-01-17T00:00:00Z,Sony Pictures,Action,204417855,22292023,NA,NA,NA,NA,NA,NA,NA,NA
2,1917,2019-12-25T00:00:00Z,Universal,Thriller/Suspense,157901466,17219352,tt0065362,short,1917,0,1970,\N,34,"Short,War"
3,Sonic The Hedgehog,2020-02-14T00:00:00Z,Paramount Pictures,Adventure,146066470,15928731,tt11799124,tvEpisode,Sonic The Hedgehog,0,2020,\N,\N,Comedy
4,Jumanji: The Next Level,2019-12-13T00:00:00Z,Sony Pictures,Adventure,124736710,13602694,tt11443076,tvEpisode,Jumanji: The Next Level,0,2019,\N,27,"Comedy,Talk-Show"
5,Star Wars: The Rise of Skyw…,2019-12-20T00:00:00Z,Walt Disney,Adventure,124496308,13576478,NA,NA,NA,NA,NA,NA,NA,NA
6,Birds of Prey (And the Fant…,2020-02-07T00:00:00Z,Warner Bros.,Action,84158461,9177585,NA,NA,NA,NA,NA,NA,NA,NA
7,Dolittle,2020-01-17T00:00:00Z,Universal,Adventure,77047065,8402079,tt11625976,tvEpisode,Dolittle,0,2020,\N,\N,Comedy
8,The Invisible Man,2020-02-28T00:00:00Z,Universal,Horror,64914050,7078958,tt0024184,movie,The Invisible Man,0,1933,\N,71,"Horror,Sci-Fi"
9,The Call of the Wild,2020-02-21T00:00:00Z,20th Century Studios,Adventure,62342368,6798513,tt0000654,short,The Call of the Wild,0,1908,\N,16,"Action,Short"
10,Onward,2020-03-06T00:00:00Z,Walt Disney,Adventure,61555145,6712665,tt11749214,short,Onward,0,2020,\N,12,Short
11,Tenet,2020-09-03T00:00:00Z,Warner Bros.,Action,58044165,6329788,tt6723592,movie,Tenet,0,2020,\N,150,"Action,Sci-Fi"
12,Halloween,1978-10-17T00:00:00Z,Compass Internati…,Horror,47274000,5155288,tt0077651,movie,Halloween,0,1978,\N,91,"Horror,Thriller"
13,Little Women,2019-12-25T00:00:00Z,Sony Pictures,Drama,37593127,4099577,tt0009309,movie,Little Women,0,1918,\N,60,"Drama,Family,Romance"
14,The Gentlemen,2020-01-24T00:00:00Z,STX Entertainment,Action,36471796,3977295,tt0059265,movie,Die Herren,0,1965,\N,110,"Comedy,Drama"
15,Just Mercy,2020-01-10T00:00:00Z,Warner Bros.,Drama,35733621,3896796,tt11469086,tvEpisode,Just Mercy,0,2019,\N,\N,Talk-Show
16,Knives Out,2019-11-27T00:00:00Z,Lionsgate,Drama,35244610,3843468,tt11321474,tvEpisode,Knives Out,0,2019,\N,\N,Talk-Show
17,The Croods: A New Age,2020-11-25T00:00:00Z,Universal,Adventure,32334280,3526093,tt2850386,movie,The Croods: A New Age,0,2020,\N,\N,"Adventure,Animation,Comedy"
18,Parasite,2019-10-11T00:00:00Z,Neon,Black Comedy,29518856,3219068,tt0084472,movie,Parasite,0,1982,\N,85,"Horror,Sci-Fi"
19,Frozen II,2019-11-22T00:00:00Z,Walt Disney,Adventure,26934045,2937191,tt11154288,tvEpisode,Frozen II,0,2019,\N,\N,Talk-Show
20,Fantasy Island,2020-02-14T00:00:00Z,Sony Pictures,Horror,26441782,2883509,tt0077008,tvSeries,Fantasy Island,0,1977,1984,60,"Adventure,Comedy,Drama"
21,The New Mutants,2020-08-28T00:00:00Z,20th Century Studios,Horror,23855569,2601479,tt12967636,tvEpisode,The New Mutants,0,2020,\N,\N,Talk-Show
22,Wonder Woman 1984,2020-12-25T00:00:00Z,Warner Bros.,Action,23009311,2509194,tt7126948,movie,Wonder Woman 1984,0,2020,\N,\N,"Action,Adventure,Fantasy"
23,Like a Boss,2020-01-10T00:00:00Z,Paramount Pictures,Comedy,22169514,2417613,tt10502136,short,Like a Boss,0,2019,\N,\N,"Comedy,Short"
24,Unhinged,2020-08-21T00:00:00Z,Solstice Studios,Thriller/Suspense,20831465,2271697,tt0180274,movie,Unhinged,0,1982,\N,79,Horror
25,The Photograph,2020-02-14T00:00:00Z,Universal,Drama,20578185,2244076,tt0163915,tvShort,Zdjecie,0,1995,\N,32,"Documentary,Short"
26,Spies in Disguise,2019-12-25T00:00:00Z,20th Century Fox,Adventure,19714592,2149900,tt11419988,tvEpisode,Spies in Disguise,0,2019,\N,\N,Talk-Show
27,The War with Grandpa,2020-10-09T00:00:00Z,101 Studios,Comedy,18861607,2056881,tt4532038,movie,War with Grandpa,0,2020,\N,94,"Comedy,Drama,Family"
28,Underwater,2020-01-10T00:00:00Z,20th Century Fox,Thriller/Suspense,17291078,1885613,tt0649372,tvEpisode,Underwater,0,1971,\N,60,"Action,Adventure,Crime"
29,The Turning,2020-01-24T00:00:00Z,Universal,Horror,15472775,1687325,tt0105660,movie,The Turning,0,1992,\N,91,Drama
30,Gretel & Hansel,2020-01-31T00:00:00Z,United Artists,Horror,15347654,1673680,tt11707482,tvEpisode,Gretel & Hansel,0,2020,\N,23,"Comedy,Talk-Show"
31,Honest Thief,2020-10-16T00:00:00Z,Open Road,Thriller/Suspense,14163574,1544555,tt1838556,movie,Honest Thief,0,2020,\N,92,"Action,Crime,Drama"
32,The Way Back,2020-03-06T00:00:00Z,Warner Bros.,Drama,13590514,1482062,tt0006247,movie,The Way Back,0,1915,\N,\N,Crime
33,My Hero Academia: Heroes: R…,2020-02-26T00:00:00Z,FUNimation,Adventure,13553826,1478061,NA,NA,NA,NA,NA,NA,NA,NA
34,Uncut Gems,2019-12-25T00:00:00Z,A24,Thriller/Suspense,13467396,1468636,tt11533856,tvEpisode,Uncut Gems,0,2020,\N,26,"Comedy,Talk-Show"
35,Brahms: The Boy II,2020-02-21T00:00:00Z,STX Entertainment,Horror,12611536,1375303,tt11854868,tvEpisode,Brahms: The Boy II,0,2020,\N,\N,Talk-Show
36,Jojo Rabbit,2019-10-18T00:00:00Z,Fox Searchlight,Black Comedy,11791356,1285862,tt11368626,tvEpisode,Jojo Rabbit,0,2019,\N,23,"Comedy,Talk-Show"
37,Impractical Jokers: The Movie,2020-02-21T00:00:00Z,truTV,Comedy,10466091,1141340,tt9208444,movie,Impractical Jokers: The Movie,0,2020,\N,92,Comedy
38,I Still Believe,2020-03-13T00:00:00Z,Lionsgate,Drama,10410004,1135223,tt2336313,short,I Still Believe,0,2012,\N,6,"Crime,Horror,Short"
39,Emma.,2020-02-21T00:00:00Z,Focus Features,Drama,10055355,1096549,tt9214832,movie,Emma.,0,2020,\N,124,"Comedy,Drama"
40,Bloodshot,2020-03-13T00:00:00Z,Sony Pictures,Action,10021787,1092888,tt11945294,tvEpisode,Bloodshot,0,2020,\N,\N,Talk-Show
41,The Grudge,2020-01-03T00:00:00Z,Sony Pictures,Horror,9812035,1070014,tt0005431,short,The Grudge,0,1915,\N,20,"Short,Western"
42,Come Play,2020-10-30T00:00:00Z,Focus Features,Horror,9505540,1036591,tt10691612,short,Come Play,0,2018,\N,\N,"Drama,Horror,Short"
43,Let Him Go,2020-11-06T00:00:00Z,Focus Features,Thriller/Suspense,9347940,1019404,tt1622506,tvEpisode,Let Him Go,0,2009,\N,\N,Horror
44,Freaky,2020-11-13T00:00:00Z,Universal,Horror,8702060,948970,tt0319424,short,Freaky,0,2002,\N,27,Short
45,Downhill,2020-02-14T00:00:00Z,Searchlight Pictures,Drama,8287061,903714,tt0223165,short,Downhill,0,1973,\N,36,"Drama,Short"
46,Weathering With You,2020-01-15T00:00:00Z,GKIDS,Drama,7798703,850458,NA,NA,NA,NA,NA,NA,NA,NA
47,Ford v. Ferrari,2019-11-15T00:00:00Z,20th Century Fox,Drama,7648018,834025,NA,NA,NA,NA,NA,NA,NA,NA
48,Cats,2019-12-20T00:00:00Z,Universal,Musical,7196675,784806,tt0173714,movie,Cats,0,1998,\N,120,Musical
49,Bombshell,2019-12-13T00:00:00Z,Lionsgate,Drama,7172836,782206,tt0023825,movie,Bombshell,0,1933,\N,96,"Comedy,Drama,Romance"
50,It's a Wonderful Life,1946-12-20T00:00:00Z,NA,Drama,6644000,724536,tt0038650,movie,It's a Wonderful Life,0,1946,\N,130,"Drama,Family,Fantasy"
51,The Hunt,2020-03-13T00:00:00Z,Universal,Thriller/Suspense,5812500,633860,tt0005526,short,The Hunt,0,1915,\N,\N,"Comedy,Short"
52,The Rhythm Section,2020-01-31T00:00:00Z,Paramount Pictures,Thriller/Suspense,5437971,593017,tt11712748,tvEpisode,The Rhythm Section,0,2020,\N,20,"Comedy,Talk-Show"
53,Monster Hunter,2020-12-18T00:00:00Z,Sony Pictures,Action,5018403,547263,tt12240392,movie,Monster Hunter,0,2019,\N,\N,Action
54,The SpongeBob Movie: Sponge…,2020-08-14T00:00:00Z,Paramount Pictures,Adventure,4810790,524622,NA,NA,NA,NA,NA,NA,NA,NA
55,Hocus Pocus,1993-07-16T00:00:00Z,Walt Disney,Comedy,4777471,520989,tt0107120,movie,Hocus Pocus,0,1993,\N,96,"Comedy,Family,Fantasy"
56,National Lampoon’s Christma…,1989-12-01T00:00:00Z,Warner Bros.,Comedy,4593728,500951,NA,NA,NA,NA,NA,NA,NA,NA
57,Richard Jewell,2019-12-13T00:00:00Z,Warner Bros.,Drama,4523325,493274,tt11177098,tvEpisode,Richard Jewell,0,2019,\N,\N,\N
58,The Broken Hearts Gallery,2020-09-11T00:00:00Z,Sony Pictures,Romantic Comedy,4066487,443455,tt2140571,movie,The Broken Hearts Gallery,0,2020,\N,108,"Comedy,Romance"
59,Infidel,2020-09-18T00:00:00Z,Cloudburst Entert…,Thriller/Suspense,4051990,441874,tt1006894,short,Infidel,0,2002,\N,9,"Drama,Short"
60,A Christmas Story,1983-11-18T00:00:00Z,MGM,Comedy,3896391,424906,tt0085334,movie,A Christmas Story,0,1983,\N,94,"Comedy,Family"
61,Portrait of a Lady on Fire,2019-12-06T00:00:00Z,Neon,Drama,3759854,410016,tt11622318,tvEpisode,Portrait of a Lady on Fire,0,2019,\N,\N,"Comedy,Talk-Show"
62,News of the World,2020-12-25T00:00:00Z,Universal,Western,3717170,405362,tt6878306,movie,News of the World,0,2020,\N,\N,"Drama,Western"
63,Bill & Ted Face the Music,2020-08-28T00:00:00Z,United Artists,Comedy,3439660,375099,tt1086064,movie,Bill & Ted Face the Music,0,2020,\N,88,"Adventure,Comedy,Music"
64,2020 Oscar Shorts,2020-01-29T00:00:00Z,ShortsHD,Multiple Genres,3304748,360386,NA,NA,NA,NA,NA,NA,NA,NA
65,Fatale,2020-12-18T00:00:00Z,Lionsgate,Thriller/Suspense,3089694,336935,tt0411384,video,Fatale,1,2003,\N,127,"Adult,Drama,Romance"
66,Queen & Slim,2019-11-27T00:00:00Z,Universal,Drama,3089365,336899,tt11343160,tvEpisode,Queen & Slim,0,2019,\N,\N,Talk-Show
67,The Empty Man,2020-10-23T00:00:00Z,20th Century Studios,Horror,2995698,326684,tt1717703,movie,The Empty Man,0,2010,\N,57,Drama
68,My Boyfriend’s Meds,2020-02-21T00:00:00Z,Lionsgate,Romantic Comedy,2971116,324003,NA,NA,NA,NA,NA,NA,NA,NA
69,The Last Full Measure,2020-01-24T00:00:00Z,Roadside Attractions,Drama,2949212,321615,tt0415927,short,The Last Full Measure,0,2004,\N,18,"Drama,Short"
70,A Beautiful Day in the Neig…,2019-11-22T00:00:00Z,Sony Pictures,Drama,2894475,315646,NA,NA,NA,NA,NA,NA,NA,NA
71,Words on Bathroom Walls,2020-08-21T00:00:00Z,Roadside Attractions,Drama,2542518,277264,tt8045906,movie,Words on Bathroom Walls,0,2020,\N,111,Drama
72,After We Collided,2020-09-11T00:00:00Z,NA,Drama,2386483,260248,tt10362466,movie,After We Collided,0,2020,\N,105,"Drama,Romance"
73,The Nightmare Before Christmas,1993-10-13T00:00:00Z,Walt Disney,Musical,2286000,249291,tt0107688,movie,The Nightmare Before Christmas,0,1993,\N,76,"Animation,Family,Fantasy"
74,The Lodge,2020-02-07T00:00:00Z,Neon,Horror,2138907,233250,tt0264272,tvSeries,The Lodge,0,1993,\N,\N,Drama
75,Half Brothers,2020-12-04T00:00:00Z,Focus Features,Comedy,2016150,219863,tt10032396,tvSeries,Half Brothers,0,\N,\N,\N,"Comedy,Drama"
76,The Personal History of Dav…,2020-08-28T00:00:00Z,Searchlight Pictures,Drama,1876298,204612,NA,NA,NA,NA,NA,NA,NA,NA
77,The Wretched,2020-05-01T00:00:00Z,IFC Midnight,Horror,1815440,197976,tt12393356,tvEpisode,The Wretched,0,2020,\N,\N,Horror
78,Joker,2019-10-04T00:00:00Z,Warner Bros.,Thriller/Suspense,1678800,183075,tt0102166,movie,Joker,0,1991,\N,108,Comedy
79,The Rental,2020-07-24T00:00:00Z,IFC Films,Thriller/Suspense,1637548,178576,tt10003008,movie,The Rental,0,2020,\N,88,"Horror,Thriller"
80,Star Wars Ep. V: The Empire…,1981-07-31T00:00:00Z,20th Century Fox,Adventure,1580209,172323,NA,NA,NA,NA,NA,NA,NA,NA
81,Once Upon a Time…in Hollywo…,2019-07-26T00:00:00Z,Sony Pictures,Thriller/Suspense,1406198,153347,NA,NA,NA,NA,NA,NA,NA,NA
82,2 Hearts,2020-10-16T00:00:00Z,Freestyle Releasing,Drama,1349284,147141,tt5616176,movie,2 Hearts,0,2020,\N,\N,"Drama,Romance"
83,Jay and Silent Bob Reboot,2019-10-15T00:00:00Z,Fathom Events,Comedy,1330666,145110,tt12930652,tvEpisode,Jay and Silent Bob Reboot,0,2020,\N,\N,"Comedy,Talk-Show"
84,Train to Busan Presents: Pe…,2020-08-21T00:00:00Z,Well Go USA,Horror,1224525,133535,NA,NA,NA,NA,NA,NA,NA,NA
85,Promising Young Woman,2020-12-25T00:00:00Z,Focus Features,Black Comedy,1208180,131753,tt9620292,movie,Promising Young Woman,0,2020,\N,113,"Comedy,Crime,Drama"
86,Met Opera — Agrippina,2020-02-29T00:00:00Z,Fathom Events,Concert/Perfor…,1150000,125408,NA,NA,NA,NA,NA,NA,NA,NA
87,True to the Game 2: Gena’s …,2020-11-06T00:00:00Z,Faith Media Distr…,Thriller/Suspense,1117808,121898,NA,NA,NA,NA,NA,NA,NA,NA
88,The Assistant,2020-01-31T00:00:00Z,Bleecker Street,Drama,1100310,119990,tt0118648,movie,The Assistant,0,1997,\N,116,"Crime,Drama,Romance"
89,IP Man: The Finale,2019-12-25T00:00:00Z,Well Go USA,Action,1089355,118795,NA,NA,NA,NA,NA,NA,NA,NA
90,Love and Monsters,2020-10-16T00:00:00Z,Paramount Pictures,Adventure,1070714,116762,tt12573796,tvEpisode,Love and Monsters,0,2016,\N,\N,Drama
91,Relic,2020-07-03T00:00:00Z,IFC Midnight,Thriller/Suspense,1047083,114185,tt0702998,tvEpisode,Relic,0,2003,\N,44,"Adventure,Drama,Romance"
92,The Tax Collector,2020-08-07T00:00:00Z,RLJ Entertainment,Action,1044212,113872,tt0529665,tvEpisode,The Tax Collector,0,1961,\N,60,Western
93,Die Hard,1988-07-15T00:00:00Z,20th Century Fox,Action,1036063,112983,tt0095016,movie,Die Hard,0,1988,\N,132,"Action,Thriller"
94,Becky,2020-06-05T00:00:00Z,Quiver,Thriller/Suspense,1002852,109362,tt0017666,movie,Becky,0,1927,\N,70,"Comedy,Romance"
95,Break the Silence The Movie,2020-09-24T00:00:00Z,Trafalgar Releasing,Documentary,1000000,109051,NA,NA,NA,NA,NA,NA,NA,NA
96,Elf,2003-11-07T00:00:00Z,New Line,Comedy,905000,98691,tt0319343,movie,Elf,0,2003,\N,97,"Comedy,Family,Fantasy"
97,All My Life,2020-12-04T00:00:00Z,Universal,Drama,899585,98100,tt0205731,short,All My Life,0,1966,\N,3,"Music,Short"
98,The Song of Names,2019-12-25T00:00:00Z,Sony Pictures Cla…,Drama,891579,97227,tt1657517,movie,The Song of Names,0,2019,\N,113,"Drama,Music,Mystery"
99,Toy Story,1995-11-22T00:00:00Z,Walt Disney,Adventure,870305,94907,tt0114709,movie,Toy Story,0,1995,\N,81,"Adventure,Animation,Comedy"
100,Met Opera: Wozzeck,2020-01-11T00:00:00Z,Fathom Events,Concert/Perfor…,863000,94111,tt12522096,movie,Met Opera: Wozzeck,0,2020,\N,\N,\N
101,Cut Throat City,2020-07-31T00:00:00Z,Well Go USA,Drama,855894,93336,tt12723874,tvEpisode,Cut Throat City,0,2020,\N,\N,Talk-Show
102,Sarileru Neekevvaru,2020-01-10T00:00:00Z,Great India Films,Action,821000,89531,tt10773090,movie,Sarileru Neekevvaru,0,2020,\N,169,"Action,Comedy,Drama"
103,Vanguard,2020-11-20T00:00:00Z,Gravitas Ventures,Action,793525,86534,tt0556206,tvEpisode,Vanguard,0,2005,\N,42,"Drama,Fantasy,Mystery"
104,Pinocchio,2020-12-25T00:00:00Z,Roadside Attractions,Adventure,782555,85338,tt0032910,movie,Pinocchio,0,1940,\N,88,"Animation,Comedy,Family"
105,Color Out of Space,2020-01-24T00:00:00Z,RLJ Entertainment,Horror,765561,83485,tt11718538,tvEpisode,Color Out of Space,0,2020,\N,20,"Comedy,Talk-Show"
106,Shortcut,2020-09-25T00:00:00Z,Gravitas Ventures,Horror,758223,82685,tt10101154,short,Shortcut,0,2020,\N,\N,"Sci-Fi,Short"
107,Possessor,2020-10-02T00:00:00Z,Neon,Thriller/Suspense,752885,82103,tt0828733,tvEpisode,Possessor,0,2000,\N,47,Fantasy
108,Coco,2017-11-22T00:00:00Z,Walt Disney,Musical,734000,80043,tt0353313,short,Coco,0,2000,\N,2,"Animation,Comedy,Short"
109,"Monsters, Inc.",2001-11-02T00:00:00Z,Walt Disney,Adventure,726000,79171,tt0198781,movie,"Monsters, Inc.",0,2001,\N,92,"Adventure,Animation,Comedy"
110,Baaghi 3,2020-03-06T00:00:00Z,FIP,Action,721439,78673,tt11924182,tvEpisode,Baaghi 3,0,2020,\N,20,"Comedy,Talk-Show"
111,The Santa Clause,1994-11-11T00:00:00Z,Walt Disney,Adventure,706000,76990,tt0111070,movie,The Santa Clause,0,1994,\N,97,"Comedy,Drama,Family"
112,The Last Vermeer,2020-11-20T00:00:00Z,Sony Pictures Cla…,Drama,685380,74741,tt8337320,movie,The Last Vermeer,0,2019,\N,117,Drama
113,The Addams Family,2019-10-11T00:00:00Z,United Artists,Adventure,678926,74037,tt0057729,tvSeries,The Addams Family,0,1964,1966,30,"Comedy,Family,Horror"
114,The Last Shift,2020-09-25T00:00:00Z,Sony Pictures,Comedy,643658,70191,tt0478871,tvMovie,The Last Shift,0,2005,\N,48,Documentary
115,Synchronic,2020-10-23T00:00:00Z,Well Go USA,Thriller/Suspense,636673,69429,tt9016974,movie,Synchronic,0,2019,\N,96,"Drama,Horror,Sci-Fi"
116,Maleficent: Mistress of Evil,2019-10-18T00:00:00Z,Walt Disney,Adventure,634868,69233,tt11101466,tvEpisode,Maleficent: Mistress of Evil,0,2019,\N,\N,Talk-Show
117,Chhapaak,2020-01-10T00:00:00Z,FIP,Drama,604334,65903,tt9614460,movie,Chhapaak,0,2020,\N,120,"Biography,Drama"
118,Pain & Glory,2019-10-04T00:00:00Z,Sony Pictures Cla…,Drama,599619,65389,NA,NA,NA,NA,NA,NA,NA,NA
119,Panga,2020-01-24T00:00:00Z,FIP,Drama,582720,63546,tt11045962,video,Panga,0,2018,\N,\N,"Music,Short"
120,Black Christmas,2019-12-13T00:00:00Z,Universal,Horror,562060,61293,tt0071222,movie,Black Christmas,0,1974,\N,98,"Horror,Mystery,Thriller"
121,Guardians of the Galaxy,2014-08-01T00:00:00Z,Walt Disney,Action,542000,59105,tt10622824,tvEpisode,Guardians of the Galaxy,0,2014,\N,\N,Documentary
122,Alone,2020-09-18T00:00:00Z,Magnolia Pictures,Thriller/Suspense,538358,58708,tt0022215,movie,Odna,0,1931,\N,90,Drama
123,Followed,2020-06-19T00:00:00Z,Global View Enter…,Horror,538179,58689,tt0907622,short,Beikvotea,0,2006,\N,8,"Drama,Short"
124,The Polar Express,2004-11-10T00:00:00Z,Warner Bros.,Adventure,536000,58451,tt0338348,movie,The Polar Express,0,2004,\N,100,"Adventure,Animation,Comedy"
125,Harriet,2019-11-01T00:00:00Z,Focus Features,Drama,534455,58282,tt0594137,tvEpisode,Harriet,0,1961,\N,30,Western
126,Kajillionaire,2020-09-25T00:00:00Z,Focus Features,Drama,531430,57953,tt8143990,movie,Kajillionaire,0,2020,\N,106,"Crime,Drama"
127,The Call,2020-10-02T00:00:00Z,Atlas Distribution,Horror,516520,56327,tt0001144,short,The Call,0,1910,\N,11,"Drama,Short"
128,The Big Ugly,2020-07-24T00:00:00Z,Vertical Entertai…,Action,514107,56064,tt9441638,movie,The Big Ugly,0,2020,\N,106,Drama
129,Dark Waters,2019-11-22T00:00:00Z,Focus Features,Drama,502205,54766,tt0036745,movie,Dark Waters,0,1944,\N,90,"Drama,Film-Noir,Mystery"
130,The Forgotten Carols,2020-11-20T00:00:00Z,Purdie Distribution,Musical,501629,54703,NA,NA,NA,NA,NA,NA,NA,NA
131,Spell,2020-10-30T00:00:00Z,Paramount Pictures,Horror,500104,54536,tt0703012,tvEpisode,Spell,0,2004,\N,42,"Adventure,Drama,Romance"
132,Ava,2020-09-25T00:00:00Z,Vertical Entertai…,Action,497747,54279,tt10574128,short,Ava,0,2018,\N,5,"Drama,Short"
133,CatVideoFest,2020-02-21T00:00:00Z,Oscilloscope Pict…,Documentary,478775,52211,tt10160722,movie,CatVideoFest 2019,0,2019,\N,70,Reality-TV
134,A Hidden Life,2019-12-13T00:00:00Z,Fox Searchlight,Drama,456268,49756,tt0890779,tvEpisode,A Hidden Life,0,2006,\N,60,Documentary
135,Once Were Brothers: Robbie …,2020-02-21T00:00:00Z,Magnolia Pictures,Documentary,449561,49025,NA,NA,NA,NA,NA,NA,NA,NA
136,Seberg,2019-12-13T00:00:00Z,Amazon Studios,Thriller/Suspense,448009,48855,tt12348856,tvEpisode,Seberg,0,2020,\N,\N,Talk-Show
137,Infamous,2020-06-12T00:00:00Z,Vertical Entertai…,Action,429148,46799,tt0385424,tvSeries,Infamous,0,2003,\N,60,Crime
138,Tulsa,2020-08-21T00:00:00Z,Self Distributed,Drama,413522,45095,tt0041994,movie,Tulsa,0,1949,\N,90,"Action,Drama,Romance"
139,Buddy Games,2020-11-20T00:00:00Z,Paramount Pictures,Comedy,405904,44264,tt7070818,movie,Buddy Games,0,2019,\N,90,Comedy
140,Yellow Rose,2020-10-08T00:00:00Z,Sony Pictures,Drama,367849,40114,tt0048817,movie,Yellow Rose,0,1955,\N,\N,\N
141,The Kid Detective,2020-10-16T00:00:00Z,Sony Pictures,Black Comedy,364138,39709,tt8980602,movie,The Kid Detective,0,\N,\N,\N,"Comedy,Drama"
142,Greed,2020-02-28T00:00:00Z,Sony Pictures Cla…,Comedy,355308,38746,tt0015881,movie,Greed,0,1924,\N,140,"Drama,Thriller,Western"
143,Thank You For Everything,2019-12-25T00:00:00Z,Entertainment One,Comedy,352149,38402,NA,NA,NA,NA,NA,NA,NA,NA
144,Ride Your Wave,2020-02-19T00:00:00Z,GKIDS,Comedy,332432,36252,tt11034368,tvEpisode,Ride Your Wave,0,2019,\N,\N,"Comedy,Talk-Show"
145,Les Misérables,2020-01-10T00:00:00Z,Amazon Studios,Drama,330181,36006,tt0000969,short,Les Misérables,0,1909,\N,\N,"Drama,History,Short"
146,Ordinary Love,2020-02-14T00:00:00Z,Bleecker Street,Drama,323688,35298,tt0269267,short,Geliebter Alltag,0,2005,\N,13,Short
147,How the Grinch Stole Christmas,2000-11-17T00:00:00Z,Universal,Adventure,304000,33151,tt0170016,movie,How the Grinch Stole Christmas,0,2000,\N,104,"Comedy,Family,Fantasy"
148,Save Yourselves!,2020-10-02T00:00:00Z,Bleecker Street,Comedy,301162,32842,tt7873348,movie,Save Yourselves!,0,2020,\N,93,"Comedy,Sci-Fi"
149,The Informer,2020-11-06T00:00:00Z,Aviron Pictures,Thriller/Suspense,300460,32765,tt0002277,short,The Informer,0,1912,\N,18,"Drama,Short"
150,Midway,2019-11-08T00:00:00Z,Lionsgate,Action,299520,32663,tt0074899,movie,Midway,0,1976,\N,132,"Action,Drama,History"
151,The Traitor,2020-01-31T00:00:00Z,Sony Pictures Cla…,Drama,296027,32282,tt0004724,short,The Traitor,0,1914,\N,\N,Short
152,Judy,2019-09-27T00:00:00Z,Roadside Attractions,Drama,292206,31865,tt0222078,movie,Judy,0,1970,\N,75,"Crime,Drama"
153,Clemency,2019-12-27T00:00:00Z,Neon,Drama,288343,31444,tt0577001,tvEpisode,Clemency,0,2001,\N,60,"Crime,Drama,Romance"
154,Created Equal: Clarence Tho…,2020-01-31T00:00:00Z,Manifold Productions,Documentary,282149,30768,NA,NA,NA,NA,NA,NA,NA,NA
155,Missão: Vingança,2020-11-13T00:00:00Z,Saban Films,Black Comedy,278378,30357,NA,NA,NA,NA,NA,NA,NA,NA
156,21 Bridges,2019-11-22T00:00:00Z,STX Entertainment,Thriller/Suspense,274740,29960,tt8688634,movie,21 Bridges,0,2019,\N,99,"Action,Crime,Drama"
157,"Mafia, Inc.",2020-02-14T00:00:00Z,Films Seville,Drama,264552,28849,NA,NA,NA,NA,NA,NA,NA,NA
158,Tokyo Godfathers,2004-01-16T00:00:00Z,IDP Distribution,Adventure,237581,25908,tt0388473,movie,Tôkyô goddofâzâzu,0,2003,\N,93,"Adventure,Animation,Comedy"
159,The Climb,2020-11-13T00:00:00Z,Sony Pictures Cla…,Drama,234429,25564,tt0090851,movie,The Climb,0,1986,\N,90,Adventure
160,The Secrets We Keep,2020-09-16T00:00:00Z,Bleecker Street,Thriller/Suspense,231119,25203,tt10487500,tvEpisode,The Secrets We Keep,0,2019,\N,\N,\N
161,Frozen,2013-11-27T00:00:00Z,Walt Disney,Musical,215000,23446,tt0125279,movie,Jidu hanleng,0,1996,\N,99,Drama
162,Legend of Deification,2020-10-01T00:00:00Z,Well Go USA,Adventure,214670,23410,tt11177804,movie,Jiang Ziya,0,2020,\N,110,"Animation,Family,Fantasy"
163,Dr. Seuss’ The Grinch,2018-11-09T00:00:00Z,Universal,Adventure,214000,23336,NA,NA,NA,NA,NA,NA,NA,NA
164,Wild Mountain Thyme,2020-12-11T00:00:00Z,Bleecker Street,Drama,213441,23276,tt6842770,movie,Wild Mountain Thyme,0,2021,\N,\N,"Drama,Romance"
165,Beanpole,2020-01-29T00:00:00Z,Kino Lorber,Drama,196258,21402,tt0272476,tvMovie,Beanpole,0,1990,\N,30,Comedy
166,The Doors: Break on Thru — …,2020-02-12T00:00:00Z,Trafalgar Releasing,Documentary,186920,20383,NA,NA,NA,NA,NA,NA,NA,NA
167,The Outpost,2020-07-03T00:00:00Z,Screen Media Films,Action,186634,20352,tt0148571,short,The Outpost,0,1942,\N,7,"Animation,Short"
168,The Wolf of Snow Hollow,2020-10-09T00:00:00Z,Orion Classics,Horror,185026,20177,NA,NA,NA,NA,NA,NA,NA,NA
169,Come Away,2020-11-13T00:00:00Z,Relativity,Drama,184477,20117,tt5714470,movie,Come Away,0,2020,\N,94,"Adventure,Drama,Fantasy"
170,63 Up,2019-11-27T00:00:00Z,BritBox,Documentary,183940,20058,tt8929142,tvSeries,63 Up,0,2019,\N,145,Documentary
171,The Good Liar,2019-11-15T00:00:00Z,Warner Bros.,Thriller/Suspense,182779,19932,tt11301472,tvEpisode,The Good Liar,0,2019,\N,18,"Comedy,Talk-Show"
172,And Then We Danced,2020-02-07T00:00:00Z,Music Box Films,Drama,177262,19330,tt8963708,movie,And Then We Danced,0,2019,\N,113,"Drama,Romance"
173,No Escape,2020-09-18T00:00:00Z,Vertical Entertai…,Horror,167962,18316,tt0025568,movie,No Escape,0,1934,\N,71,Drama
174,Extra Ordinary,2020-03-06T00:00:00Z,Cranked Up Films,Horror,164346,17922,tt0574049,tvEpisode,Extra Ordinary,0,2003,\N,45,Drama
